Location Name,X Coordinate,Y Coordinate
Rodgau,5988.557116695608,2878.6062528336342
Westminster,2239.2504987194793,5176.324104340644
Herndon,5074.939296429058,9576.475115632811
Springboro,4502.299410693103,9930.335354721237
Gemerek,7647.611016077134,8021.629821817183
Pomigliano d'Arco,3794.2131430161653,7382.9372342920515
Masis,5517.424756362588,7020.7926597128835
Laupheim,4448.701059137724,7986.65681936426
Belleville,8780.87335686197,2639.4413788199545
Negotino,5022.997283972681,8743.412957942614
Rochdale,6617.796215072625,6026.757082053971
Quixeramobim,7811.434355306947,8810.903929942122
Fili,5683.5926948780425,7004.781052344368
LaPorte,7930.493725486463,8367.884615873343
Zhanjiang,7629.188159505969,5550.355554170946
Santa Rosa,5169.037918468958,9723.39064201844
Misilmeri,5700.9997635286245,8619.505240587108
Ajdabiya,1404.5658024105712,4487.058336756143
Dammarie-les-Lys,6905.500050550369,3856.575700667736
Gampola,4754.864847133663,3253.528841989468
Chelyabinsk,9937.425564753075,3346.968007345108
Caidian,3889.715167699812,8161.140671507759
Deer Park,3519.3923171559027,7679.355193622852
Bandar Labuan,2738.5815655129,5098.758229666468
Carrickfergus,6441.770805804238,8864.115387300177
San Vicente,5757.381062524793,530.6113816016789
Flensburg,2301.6450298124146,9856.952431956863
Xunyang,808.7047561055994,7234.5323611179065
Antsiranana,7214.60907922831,8817.185565343087
Al Mubarraz,7252.637240782902,1299.4057900600508
Kawasaki,6020.121940270681,8665.306748756107
Bireun,7131.5806801667295,4128.778408635439
Delmiro Gouveia,4564.65186821404,4887.181279485588
Tenango de Arista,1398.1344135108964,3132.260046609846
Ghauspur,2347.8253084600065,2959.8104963313476
Barrancas,2617.4291248262316,7497.115489465944
Nogales,2042.143968837349,3241.324348644272
Gressier,1851.180460331008,9800.127365930057
Barmbek-Nord,2973.2142216282577,5142.991163184521
Gongmen,5787.779861829321,8353.649949696008
Tianzhuang,9934.654224872867,4084.651797768655
Lake Havasu City,7282.014616822701,5842.019724787611
Harlingen,1601.2830972625002,5080.482412907994
Sikka,8939.477950446118,8451.244371655055
Chu,4119.677709648,2708.2206286676023
Somerset,5513.753121992197,6526.7650116134955
Yeyuan,3767.5424010230217,789.012778622501
Miura,8642.105066604248,7190.74600848704
Tacloban,9330.810202898012,6951.566682524735
Tyler,9480.543551706467,9828.39682217855
Fonte Boa,2124.5986501741086,4990.51747355936
Santa Cruz de Barahona,1378.686941128613,5099.895748549531
Tchibanga,9005.436166189365,5131.35601716755
Machachi,4677.717639878244,7249.585672112633
Oranjestad,8682.535688689335,265.44034047026213
Sonqor,7511.113308897786,9493.260846285952
Deqing,9505.660963803504,7819.271897523166
Kasese,8713.780010705548,441.21704961877174
Greenville,8865.59497961742,7031.23037985015
Aurora,6129.314521486736,1239.2858847626298
Amakusa,9376.770640525237,3677.584605197234
Maltby,2447.402453496981,1141.8231573105086
Wieliczka,4091.0943028083248,3817.9801910992974
West Bay,2456.1475247007525,801.0280221567101
Chiaia,2926.419972584756,5424.778867364664
Vallejo,4388.483752349145,2325.135241822168
Pasaje,3024.2992036052765,896.0316065611739
Tanjung Selor,7536.111611790571,4989.707070714831
La Haute-Saint-Charles,1587.0357573456472,8834.677620366832
Zenica,4728.330826456422,6381.634577623786
Salinas,1303.6781735234138,586.581019598228
Senta,101.56471852436732,3036.4350247411667
Godfrey,2579.797737237368,1949.9570681981816
Shafter,6139.9159222063145,7194.240565377
Tanauan,5840.504659540138,529.2442876333048
Pryluky,9217.417242222116,303.11263771275577
Beja,1500.2718811598882,8468.485470325675
Tiquipaya,6327.949805335381,180.49013970100503
Kenosha,7677.000954241864,8724.658043937745
Varjota,4613.137470150985,1411.781680919365
Steyr,3833.631498021571,1268.8991942455496
Jarash,2388.655734354872,2218.925315881809
Long Island City,1027.6704552827375,9029.271311969445
Carrigaline,4573.402395337354,6425.864541653053
Cloppenburg,7823.622681680787,332.073966822436
Berrahal,8452.133379035125,1633.5265156204925
Yatsuomachi-higashikumisaka,3840.0352403744987,105.13516102413134
Mukilteo,3046.436630207331,1907.3669584949614
Abrama,8617.709519553558,2787.8482008043047
Lucaya,9771.184411489456,7293.255070357092
Cedar Hill,4302.924817463063,4579.245955968187
Pyu,6518.629921906113,7044.400406250311
Gresik,7264.146851896984,8970.687730227233
Bailadores,4559.091193756729,2894.3557295950186
Kertosono,9528.230654168341,888.6047026933375
Parnas,5174.649190628029,9445.546669447998
Awka,3450.6780572359717,4408.714768273807
Ferokh,4808.329162633354,2213.0115427972364
Manikchari,7770.910434720755,2912.468077367901
Rancho Palos Verdes,7950.7542501343505,8381.600566230847
Kara,515.0001754392586,1948.7288009156223
DeKalb,6595.038244585905,735.675013897793
Tumbi,8766.966692538579,8429.42342166831
Elland,7049.553881495402,337.7629253851755
Karangampel,7511.300602971195,648.9818612430032
Newtownards,6610.296430676393,6624.3709545073025
Yuqunweng,1189.820820255758,199.38640308169386
Letpandan,7557.644623954683,160.59232215881124
Wallsend,2162.2452782532987,2263.553558611767
Albertville,1740.6115288514322,2299.5408112468317
Midvale,9646.803138541547,7249.7767722273275
Karamsad,9015.105562646917,5287.001023463416
Azare,1618.1413986586424,2681.510653986816
Chortkiv,585.9773335687723,7018.455910325574
Tushan,3244.2584420313638,1632.5233199279842
Ormoc,9282.8190876231,4622.6042421063785
Katima Mulilo,640.7838089780727,1488.3453436126404
Chuzhou,5800.402877946528,1837.5889506226517
Redcar,2451.9084379800115,2063.028511450383
Enchanted Hills,3840.3640580699825,1898.139435440268
Les Clayes-sous-Bois,8189.473114226729,7479.995390361083
Kimry,729.9286295288798,1705.7234663869303
Rioblanco,9065.577117516448,5456.296268930816
Caucete,1783.8866142654542,892.1548031674776
Mililani Town,2594.213233200764,3411.581142499981
Kuoshi'airike,1637.607305681603,1873.2779431572355
Mbouda,9031.493324877372,7762.108275177405
Mihona,4809.84347715083,4563.32182196081
Teoloyucan,8018.3633199890555,6214.231826994057
Nevinnomyssk,6591.939814496681,5122.681716028979
RMI Capitol,559.9053326245051,4815.695075423692
Neu Wulmstorf,7080.890062206705,636.2636625962892
Langenfeld,5951.518815594712,4498.3552436045475
Jamay,7652.603069951579,3134.2979140115212
Brisbane,9407.954165125446,9724.46936159609
Kyaukse,7991.264245369421,3851.691187223897
Torrent,7359.74824336062,7999.595813071208
Mahdishahr,1951.6850485228842,9790.224227679117
Alta Gracia,4624.505196856316,379.0994296369554
Battipaglia,1173.646621024168,7923.164288058979
Eislingen,9282.281713350112,9976.205551048588
Parla,8337.959365282819,4440.373407286199
University Heights,2767.590834666913,5071.322658734734
Abomey-Calavi,842.0353641276602,8317.87917453922
Abakaliki,4373.577458639637,1664.7270623297395
Zuru,2636.9149393169623,305.5483542207138
Pasragad Branch,1741.306114205007,6824.223069292909
Kumbalam,2386.793202474542,7888.903301550135
University Place,3420.8115263409054,2092.307130281035
Sanford,4955.327893061516,5568.526302371601
Dalianwan,456.35503075811766,9200.74915895235
Boudjima,9124.968969248519,4732.237726492641
Amod,471.3954299751133,6370.932241420508
Cururupu,1388.637310335269,4589.538199708974
Longsheng,2249.2638067346625,4358.073287785638
San Luis,9955.324055516345,8676.266913467405
Nihtaur,7791.11889593824,9031.0835371488
San Miguel,9147.905809050377,7588.813789119444
Tachiarai,6308.395632088907,2965.043354247128
Sagaing,6482.588763826141,6405.371974834051
Khasavyurt,9422.418995863036,2242.350757231575
Huanglou,3420.7529184042473,3839.238331247624
Odenthal,4881.2576730231385,2401.3645078747713
Edgewood,2188.978108423163,2391.1517200845924
Schwandorf in Bayern,8014.409198027719,6709.42833562561
Su-ngai Kolok,2622.266494849337,29.541672563317967
Weru,5952.198040013976,1761.8498606322908
Colleyville,3885.5564545039942,7630.296849297152
El Idrissia,2703.374577782206,2308.7985667063726
Datong,8434.466733015093,9822.266509592286
San Salvador Tizatlalli,4229.289465709063,4333.829059558222
Stanley,6895.02112081575,6580.224395136748
Sikasso,7535.837000561707,3441.277764336673
Port Area,7455.855954837154,6077.756628555247
Saint Thomas Mount,4854.933013717316,5151.225180593055
Craiova,9886.593897796765,5549.481315090458
Merlo,1424.115776034518,8458.880693096346
Yunfu,5010.019082680924,9679.551536277737
Kaizu,6641.089998977942,6743.899748762109
Cartagena,3416.8542538544043,9117.671267376289
Diyarb Najm,9307.34159679082,8991.559670679608
Zunyi,4811.994062295435,4384.920061418399
Jiuhe,9347.610757339344,4881.118549451865
Nyaunglebin,3233.0251823942103,1083.747067519195
Millau,1097.2861836242787,6687.508666429769
Kisela Voda,1568.754598744645,263.2181108098397
Nerviano,5431.538027321117,5725.613395664364
New Castle,1691.7745258170803,4056.2513827954126
Long Island City,20.704565364935146,2984.89094683307
Mascouche,7905.868247344147,6369.105900430804
Haomen,9421.065620335621,7708.728213134163
Feodosiya,9462.428873869692,4685.9438931040095
Anyama,5067.8258605613,3848.2683053955334
Tigard,534.9240239255038,8934.591258930172
Medicine Hat,4641.475567860838,4144.947929352454
Othmarschen,9030.876336349893,5722.885642474691
Sibbo,7909.433756166159,2288.92003686898
Zhezqazghan,8615.208989076262,1727.2236638310844
Pinotepa Nacional,5718.008468048342,5020.64055028267
Klamath Falls,7330.782352531814,661.1664732934164
Baranagar,2425.295260085728,7675.475412273733
Anxiang,6550.668024520221,307.56086736802854
Radolfzell,4843.9363508858705,1816.9276729217877
Medianeira,9961.155998834043,4234.920771339939
Gevrai,4318.871841946073,643.5040026323624
Hisor,5431.031949630358,1419.1999250692866
Chalinze,9580.599320961732,8719.540323415586
East London,3305.5269505237584,6672.806307690433
Muttupet,1955.5683746572727,9291.77001765893
Takefu,9783.9868358377,4758.719310973717
Algeciras,7988.331160176959,5562.939495492194
Bensenville,7898.939075342647,4398.992823432698
Arita,3932.920975675315,9051.579764398035
Biruaca,4283.3519894461015,717.9208269321491
Villa de Mayo,7752.980806291835,9019.863121611881
Pirmasens,591.4895823237342,4731.7681218278385
Oak Hill,5159.385662343606,6141.008251219433
Yizhuang,9383.268305154212,7549.813856123074
Fraccionamiento Ciudad Olmeca,4441.212272176083,7804.049077950458
Dix Hills,1735.6358063719347,4882.870524152946
Batu Gajah,4394.290074124729,7508.412960713138
Curanilahue,4451.845939385405,7265.922350772033
Vera Cruz,7343.832926975212,4163.259755271275
Maheshtala,9396.516917812685,5728.014625747379
Inuyama,1350.8382405923037,4292.365406186584
Plymouth,2647.627451388319,249.52219353120975
Balanga,1421.8026612378044,7627.1182070171835
Goch,7625.338451537527,6680.892427935727
Sparta,8810.58955515816,5648.187761255077
Kunnamkulam,2093.7601367496004,7369.88769058777
Chilly-Mazarin,6157.521363226525,9944.19718266681
Shively,6404.642765507261,4398.578372889019
Lake Forest,8683.52985855473,9319.4494809524
Troitsk,5957.841626814462,6175.197008078638
Lexington,6910.2506249769995,8661.493620012898
Khandela,9661.636945806935,6284.773294571385
Quetta,9966.729154762585,2151.2834137796353
Abington,1568.1891618777388,5582.974000446075
Bergenfield,1548.632304695743,5955.947807672708
Alsterdorf,6456.214967918709,5513.544330795922
Siddhapur,2555.826549201238,2542.480028927936
Blagnac,8533.758728145387,9933.535765880333
Brentwood,123.1371888177324,2830.910753399959
Las Vegas,472.1011670100639,6955.6843984402085
Salinas,816.4159745889832,9356.306200706855
West Lake Stevens,2653.75613185346,9864.35808780889
Capalaba,5170.332088915788,3346.314404300983
Port Dickson,7872.088170082676,8143.344710867856
Mentana,5134.014989550126,5593.0295404055205
Teresa,931.7819724138343,4451.314338748297
Plettenberg,7057.279532268527,8332.90220822155
Uxbridge,2019.2822710411617,5349.677307870834
Wendlingen am Neckar,564.2633451840528,6009.5051929125175
Nalgonda,4790.812928611879,8396.790767391722
Shekhupura,9775.005637451071,7314.014087165042
Degtyarsk,4326.665504492031,9531.595858848521
Nakhon Sawan,4568.401055962568,3891.745858766558
Huanan,3289.256780998758,5816.460018424928
Liverpool,33.491113450275776,3103.566626593811
Reinbek,7458.120340461865,8124.065889463032
Yelahanka,2839.2806180265793,3545.5194501960395
Mosquera,9764.43938549486,8008.594814184976
Deoli,5266.1629015324825,202.22621949687937
Goiatuba,211.68705924916375,9551.727260681037
Imsil,1008.2834091390724,9770.9943698157
Huashan,8565.062627857442,8430.385671181994
Saybag,7354.38891576203,6166.680333618535
Esmeraldas,7730.483565972598,7834.053810605967
Chenggu,9949.848328821021,1590.1832855361743
Weston,7639.157506994485,5516.7423237378325
Esquel,1296.1002128823095,5186.374141383258
Nixa,6725.510182510094,4713.421220459384
Prestatyn,2522.2269969926115,7321.168177355023
Satipo,4991.2537362957955,7124.394418800317
Oakdale,418.3528190298935,3046.2083174912445
Yanamalakuduru,8384.937602545042,3497.5277699222706
Voluntari,592.658849852622,1825.9771913753652
Arawa,966.3565234369676,3143.0365507968495
Francavilla al Mare,8625.827601117628,9515.609425165547
Seoni,4138.269373453339,1923.267929061504
Slidell,8093.118470732844,7155.760423004096
Tangxiang,236.26746609994643,4435.5951085812585
Atbasar,5743.987919571214,221.89966984802578
Miskolc,4579.026933082375,4692.651734809679
Saratoga Springs,6895.941678550812,1374.1962287606445
Zgorzelec,9223.410039088363,7746.227166320268
Dunyapur,8091.062976152507,3192.9151332623182
Cuautepec de Hinojosa,5877.430041801418,7421.052451845457
Xifeng,9985.434325169523,1914.6542171490178
Loa Janan,8469.94726715992,2637.973618919044
Kanzakimachi-kanzaki,341.5891561349427,6401.167215360093
Minamirinkan,4585.475196259447,2517.7795727920516
Donaueschingen,5021.764633839496,5904.335760338292
Stockach,3187.5355153662454,6552.203564249884
Villaverde,3351.3517615987375,7284.344938285032
Hirara,3761.43975943954,3299.0091847280232
Wedding,5589.4407199874895,687.7579908444342
Shively,1175.2407112502872,9736.252778529984
Romorantin-Lanthenay,4798.2382331250465,594.266668933926
Dum Duma,9920.842066457559,8169.016514367231
Raebareli,5118.61429903218,9509.712964926182
Kennedy Park,1106.0044600348972,9273.481311356023
Bacabal,7424.294289174251,493.5784982346203
Heilbron,4073.9917191585105,5378.8141178008445
Le Blanc-Mesnil,1459.9808490470812,2495.702942169633
Kaulsdorf,6243.185404483393,7244.907761576677
Bejuma,1922.9728461379214,4318.990983858428
Wanparti,760.5537117718364,6062.264655902568
Tirat Karmel,7463.690500112744,3504.720048013459
Dumka,4035.306358643096,1511.086064131325
Catania,2259.605987563544,3623.5123872111562
Chickasha,2286.9521883256407,4838.856145189404
Xindian,8851.60809577387,1626.9100811580206
Binonga,7327.687984198917,1086.9016064940706
Karamay,1236.518962532519,6766.955856284139
San Miguel,3934.847241386539,3785.856356869174
Plovdiv,9419.583744002204,9809.300951703346
Nagpur,5399.423131093779,6497.207675504483
Usera,7385.713229639992,9447.506705919835
Baybay,6571.697168215843,239.89684323366566
Riccione,343.4564433100329,9010.909271680654
Rovereto,2109.1220259284114,6901.6652447140505
Impfondo,5575.282391357993,9181.588523264485
Tucupido,3910.464862380214,4167.768683577626
Temple Terrace,592.4616307846442,1643.6214887658452
Chinatown,4584.7872950953315,6826.127884978195
Panlong,5807.582954672654,3118.5411558116016
Longxing,9453.111218531669,1037.6109386399069
Kurashiki,4990.924417135364,8574.096179805534
Messina,572.4019602075836,239.3993081168222
Morales,4210.194829475225,4901.698444311783
Dongtai,9573.399632054174,2338.335233818949
Sanming,281.96767161078,4696.885887127935
Innoshima,8509.246662873597,5241.8667155796475
Oristano,3706.917314264735,5871.069742466304
Melrose,251.27502954445546,9145.59566882035
Ario de Rosales,1500.9888783742508,3750.9896672410114
SeaTac,3112.350202626982,6505.313073139722
Pasarkemis,1113.9375654360317,650.0824458190668
Trieste,6632.507328805708,2774.9683987498884
Gaya,7382.36257661668,4913.240000268405
Guadalajara,9681.529631868689,6219.199713826494
Taquarituba,4693.465032048057,494.038862706091
Al Ajaylat,318.6093415320734,3056.1983119267857
Keta,9873.725184123954,8315.819761449156
General Mosconi,8097.880745537922,5423.165606257644
Eibergen,6006.216455695066,4298.510907933638
Nelamangala,7004.428706766515,699.4894369852123
Grimbergen,5423.277861121563,5758.613900387195
San Vicente,9820.257505471898,6580.486228702718
Kamyanske,5569.26550725043,934.9333818350558
Tamamura,9130.261384435067,8769.251143616817
Winsen,7877.722274406147,5562.5853674692835
Bujumbura,9495.601495845807,6489.453254312033
Pedra Azul,9118.622995533047,339.21769694518434
Williston,6408.4755445427245,6216.734586893137
Sidney,8969.113658639328,4519.973249419824
Badagara,2398.3666497899435,1825.6534830080218
Sumedang Utara,4363.533819221743,1230.0299996033414
Kegalle,9661.67404400128,8563.101023217729
Martos,6152.6399757177105,7695.052670574287
Remscheid,4547.667405341146,7706.034172693775
Yeovil,9592.921125939254,5680.942694592397
Fort Worth,4523.261932537918,4519.435304124181
Mingora,5041.940645277978,2628.0943989225025
Naic,1894.1348049649375,2977.636196379386
Mangalagiri,4354.393372180578,6625.729528000543
North Chicopee,9355.408861389342,5502.777574902986
Kropyvnytskyy,8293.137572895246,487.35212581534125
Imishli,7883.976265934039,6514.641262668433
Springfield,7913.054594238624,5478.908106169673
Anta,8313.52326810183,4828.14788868372
San Bonifacio,8320.328029033928,4699.991501903586
Puno,9613.137793113288,1356.0727574772225
Rio Rancho,7285.371230501806,9292.102647778544
Oak Lawn,340.33209074088467,8208.471901052939
Molins de Rei,7774.080069964048,1620.064134672834
Piedade,7224.2767158318175,5075.284265305575
Mentekab,1448.0202836318058,6172.076063236375
Launceston,210.97383472644893,5244.862472385888
Painesville,6305.678322984969,2119.6625290380775
Casale Monferrato,7441.190027524496,5748.50863877047
Weatherford,2216.817107564577,7566.195729768822
Dubna,1559.8131468059562,491.41459958780274
Ternate,9753.05262530755,3660.761269693754
Tomares,6855.291969691407,9251.220864318911
Massy,260.64456174223596,9455.109131719317
Le Port,9807.714638780371,9955.417961348443
Kensington,6888.56808498917,812.4723362390829
Jounieh,4878.077989667248,735.6758526521235
Sant Antoni,3736.739294682456,5186.123653013007
Kawagoe,4591.189523170044,8718.428188950422
Chibuto,8952.63039523866,4490.793766549582
Farrokh Shahr,4262.757641428345,8028.382044358495
Brownwood,59.90422251808569,3916.920169115902
Aleksandrov,6112.052207644636,4411.067008431902
Salah Bey,2778.6489372469937,3177.1373600680486
Larne,7973.080405518298,2193.0093994383215
Braintree,5135.970793847946,3270.0809327233014
Uva,954.2270698514899,5293.365385135389
Unhel,2993.3201140688993,6937.442897481644
Mead Valley,6384.171949233458,2005.4273631011665
Kalmar,3258.0968983324033,9411.934857529146
Palisades Park,6853.57796806901,1378.84941079345
Wewak,836.0028201914394,9433.332394551804
New Orleans,45.26410733288966,1358.868236053341
Tunduma,2725.2033121351183,4288.239224287151
Sanaa,742.4693361749146,6032.639398362562
Wanda,6797.097517574456,7877.466576782064
Campos Sales,6664.284808345886,6482.583129609062
Pharr,2703.981980047896,7088.1790587170035
Xiangshui,8239.02171252165,3479.4395392169786
Xiping,970.1412017691368,2953.2353869743765
Zhenxi,9751.548025239561,6754.435980834044
Offenburg,4222.207947735961,3843.6831229680056
Daotian,9153.133637491346,7241.680528082295
Binyamina-Giv'at Ada,1360.0976689443046,4097.045657811596
Kunnamkulam,3314.202194814888,8145.306344562361
Puerto Montt,2201.0918683377854,5288.077629195994
Almelo,4431.348840751168,2789.598490838313
Zacatecoluca,8432.154466943366,4323.042138238349
Annecy,6213.226661031446,8213.991843838794
Firminy,5173.412054637741,7266.27036105397
Kikinda,1268.1716280824805,6927.821231171944
Winschoten,9921.351715942403,913.5996425597937
Jabal os Saraj,8086.6268762650025,5222.80516307961
Shelby,7620.895074178078,6088.380405021884
Manisa,8779.381771923952,7095.877243376075
Kanie,5896.043008997212,1709.9036830777882
San Luis de la Paz,3144.5663020191682,261.66511266954905
Sorokyne,6471.826923261361,702.2254410749118
Jijiga,4943.934942416403,3944.1351856691863
Saqqez,7832.342706797955,2933.729367652306
Cosamaloapan,8660.076687380808,8765.694028443619
Patulul,8375.252072154532,4406.861416255675
Kirchlengern,6692.777250711133,7649.295185692498
Esmeraldas,8912.101943051059,4224.813709836161
Jiayue,726.587349675919,9968.248370702571
El Paso,7125.785564844794,3219.4259672285675
Suifenhe,1309.3270265557167,9213.50194979049
Shanghai,4832.70593175574,7420.569307743663
Oyem,7215.788010201552,9915.817442376527
Gafargaon,1269.7185073052708,5930.7114097257245
Monterusciello,82.014656564251,3097.5720117043047
Kiskunhalas,9559.320847448713,1984.9015832440687
Vinces,9848.764265514845,9760.525408357187
Algeciras,6548.633955050108,5882.185142488284
Alcantarilla,8314.769799241489,6020.607974685737
Cormano,3160.3755472673547,858.9431225538713
Treviso,2560.214172512427,4673.28579837011
Jarinu,6224.797213927822,7069.585030573859
Asparuhovo,5147.393587677601,8329.01685274809
Fuding,8032.795687472557,1271.3548800616304
Khabarovsk Vtoroy,9907.899252439838,3141.786931275221
Daboh,737.1192659949311,3457.6092233048926
Picheng,7983.769360312347,9767.7112864951
Azuqueca de Henares,4313.652841636777,8595.504502745822
Un,662.9059295104056,1423.1592592763932
Abomey-Calavi,9227.62705162114,2621.6790540916145
Fort Worth,5212.990932145646,3842.96125393064
Muncar,8927.877277407315,4836.396137082828
Gagny,9636.634685060442,1278.543610538576
Cikupa,5897.3008638865385,4657.1842556992515
Cesano Boscone,5110.869038541758,6023.061385117658
Imsil,5888.942550919125,3214.2564704066003
Kirkkonummi,2945.202015433309,458.2779619470634
Saipan,4311.206433859741,2169.157273471144
Sarreguemines,7591.653169741057,2403.501546503015
Belen,5663.825738988719,4768.65069311528
Birkhadem,8523.94830129409,9179.117986552967
Mianwali,4655.39871087234,8899.69059622095
Laguna Woods,9601.881781094187,5761.429268933141
Wonosari,876.354510664229,3713.1000176835682
Valongo,5193.823079230281,6917.926627828095
Atani,5682.402468163261,70.45767729688235
Tambolaka,7238.215091692088,6399.866664436155
Saint-Amand-les-Eaux,8354.472812534075,8350.380471705108
Bhikangaon,4094.560815560938,851.4983927254726
Bambanglipuro,2596.548662688526,3804.3240050104177
Brownwood,2555.606085262807,8344.262850776307
Bebington,5876.065081950619,4637.825330708999
Altrincham,2802.986705430134,525.0277898797074
Garibaldi,7765.890362521328,7446.329714987783
Zgorzelec,8714.325524132872,6183.606494970728
Bairnsdale,1697.42165171062,991.8572516650614
Roldanillo,4159.734754279818,4835.34902687409
Bauan,97.87376796952407,8353.16535630876
Jacarezinho,2355.589080153715,5304.193255994498
Lawas,9762.8077493816,220.5680396256593
Guyancourt,9047.307292800815,415.4245740081708
Nowa Ruda,9065.708657197636,5388.204402527768
Newark,1845.1631729335438,3695.1272809781312
Gongguan,4178.98848080495,5441.318483303445
Medina del Campo,1910.6687410434554,718.2443728997612
Singen,7298.184453682053,8585.01439480921
Shahrak,398.68768296027366,885.6891810885193
Ziyang Chengguanzhen,9970.314574733624,8157.8680204781
Faruka,616.1720686353656,1204.8464148999683
New Brunswick,4789.389323065772,3769.3570349137062
Ubiaja,2990.9524110056386,8927.592568297454
Soisy-sous-Montmorency,5320.000746405501,5684.978054795686
Tage'erqi,3764.3435053234275,407.8407705442377
Vohibinany,3840.5446432350354,2927.611640404745
Te Aro,3747.4185593273824,8080.073448825208
Chicholi,9952.818851940487,3506.106719025224
Milford Mill,1232.3879792918901,667.8174065438125
Vryburg,1543.41998162432,4061.4863110054866
Paramount,2185.143433190756,9130.18968425764
Niles,9737.555268482743,1359.9289731927422
Myrtle Grove,8171.312033075521,1714.7533279574457
Nyborg,9275.475227804978,559.9994528956864
Brunswick,1996.52188675684,5591.862206589526
Liushan,2926.7600444666164,3369.9025883825593
Mira Mesa,620.8156284607813,9248.66021923768
Alamar,6786.3755302628515,6057.666392369318
Riverlea,8596.71974753132,4613.427652231698
Arusha,8591.998218440678,9148.278889610954
Nagcarlan,9974.004954820319,4610.793918319787
Fredericia,9238.06144983563,8360.0294891893
Grimma,3065.3791720136446,6255.147059036664
Katangi,5595.465716849052,38.681980022847725
Balakliia,6414.536343581477,3125.63854979258
Weil am Rhein,8956.084251755108,1584.2690624951272
Alexandroupoli,5983.325811714872,7991.329175318069
Chiavari,5596.179651829504,5767.408295904588
The Beaches,1009.2871426640903,1733.9757681359536
Rasipuram,4097.315655182609,4729.255241502492
Montreux,4692.540199181233,4960.273555009174
Burnley,3571.8723682307573,3554.514611237609
Ginsheim-Gustavsburg,4798.585161192856,55.95873804744578
Mary,836.39985501755,6820.90504368292
Longyan,5531.559030452371,883.9140815165957
Aalter,4403.435459879774,1078.2065112150085
Orcutt,4503.885203159221,6833.02332357342
Lyon 09,2294.4629357627346,4318.00323582396
Prado,6930.01508203751,4713.634291820072
